taxonID,parentTaxonID,scientificName
Phialocephala_sp,Phialocephala,Phialocephala_sp
SH019790.07FU,Phialocephala_sp,SH019790.07FU
unidentified,Archaeorhizomycetes,unidentified
Archaeorhizomycetes_sp,unidentified,Archaeorhizomycetes_sp
SH004232.07FU,Archaeorhizomycetes_sp,SH004232.07FU
SH204079.07FU,Archaeorhizomyces_sp,SH204079.07FU
SH197122.07FU,Sebacina_sp,SH197122.07FU
SH188595.07FU,Cortinarius_sp,SH188595.07FU
Chytridiomycota,Fungi,Chytridiomycota
Monoblepharidomycetes,Chytridiomycota,Monoblepharidomycetes
unidentified,Monoblepharidomycetes,unidentified
Monoblepharidomycetes_sp,unidentified,Monoblepharidomycetes_sp
SH214575.07FU,Monoblepharidomycetes_sp,SH214575.07FU
SH180760.07FU,Saccharicola_sp,SH180760.07FU
SH218289.07FU,Helotiales_sp,SH218289.07FU
Cortinarius_diasemospermus,Cortinarius,Cortinarius_diasemospermus
SH188559.07FU,Cortinarius_diasemospermus,SH188559.07FU
Agaricomycetes_ord_Incertae_sedis,Agaricomycetes,Agaricomycetes_ord_Incertae_sedis
Agaricomycetes_fam_Incertae_sedis,Agaricomycetes_ord_Incertae_sedis,Agaricomycetes_fam_Incertae_sedis
Resinicium,Agaricomycetes_fam_Incertae_sedis,Resinicium
Resinicium_bicolor,Resinicium,Resinicium_bicolor
SH204931.07FU,Resinicium_bicolor,SH204931.07FU
SH208581.07FU,Chaetothyriales_sp,SH208581.07FU
Ascochyta,Pleosporales_fam_Incertae_sedis,Ascochyta
Ascochyta_hordei,Ascochyta,Ascochyta_hordei
SH215820.07FU,Ascochyta_hordei,SH215820.07FU
Clavaria,Clavariaceae,Clavaria
Clavaria_falcata,Clavaria,Clavaria_falcata
SH185108.07FU,Clavaria_falcata,SH185108.07FU
Hydnangiaceae,Agaricales,Hydnangiaceae
Laccaria,Hydnangiaceae,Laccaria
Laccaria_laccata,Laccaria,Laccaria_laccata
SH220961.07FU,Laccaria_laccata,SH220961.07FU
Pseudotomentella_tristis,Pseudotomentella,Pseudotomentella_tristis
SH218576.07FU,Pseudotomentella_tristis,SH218576.07FU
SH203614.07FU,Phialocephala_sp,SH203614.07FU
